school_year,division_number,division_name,school_number,school_name,ft_count,pt_count,total_count
2022-2023,128,Virginia Beach City,630,Brookwood Elementary,571,NA,571
2022-2023,128,Virginia Beach City,40,Centerville Elementary,628,NA,628
2022-2023,128,Virginia Beach City,990,Christopher Farms Elementary,632,NA,632
2022-2023,128,Virginia Beach City,720,College Park Elementary,484,NA,484
2022-2023,128,Virginia Beach City,1041,Corporate Landing Elementary,380,NA,380
2022-2023,128,Virginia Beach City,980,Corporate Landing Middle,1056,NA,1056
2022-2023,128,Virginia Beach City,230,Creeds Elementary,315,NA,315
2022-2023,128,Virginia Beach City,106,Diamond Springs Elementary,484,NA,484
2022-2023,128,Virginia Beach City,780,Fairfield Elementary,477,NA,477
2022-2023,128,Virginia Beach City,610,First Colonial High,1799,NA,1799
2022-2023,128,Virginia Beach City,440,Floyd Kellam High,1886,NA,1886
2022-2023,128,Virginia Beach City,30,Frank W. Cox High,1691,NA,1691
2022-2023,128,Virginia Beach City,870,Glenwood Elementary,986,NA,986
2022-2023,128,Virginia Beach City,430,Great Neck Middle,1055,NA,1055
2022-2023,128,Virginia Beach City,1050,Green Run Collegiate,371,NA,371
2022-2023,128,Virginia Beach City,770,Green Run Elementary,321,NA,321
2022-2023,128,Virginia Beach City,10,Green Run High,1521,NA,1521
2022-2023,128,Virginia Beach City,540,Hermitage Elementary,506,NA,506
2022-2023,128,Virginia Beach City,600,Holland Elementary,460,NA,460
2022-2023,128,Virginia Beach City,740,Independence Middle,1193,NA,1193
2022-2023,128,Virginia Beach City,800,Indian Lakes Elementary,537,NA,537
2022-2023,128,Virginia Beach City,360,John B. Dey Elementary,775,NA,775
2022-2023,128,Virginia Beach City,450,Kempsville Elementary,470,NA,470
2022-2023,128,Virginia Beach City,620,Kempsville High,2010,NA,2010
2022-2023,128,Virginia Beach City,410,Kempsville Meadows Elementary,470,NA,470
2022-2023,128,Virginia Beach City,690,Kempsville Middle,740,NA,740
2022-2023,128,Virginia Beach City,420,King's Grant Elementary,502,NA,502
2022-2023,128,Virginia Beach City,580,Kingston Elementary,507,NA,507
2022-2023,128,Virginia Beach City,932,Landstown Elementary,676,NA,676
2022-2023,128,Virginia Beach City,1030,Landstown High,2229,NA,2229
2022-2023,128,Virginia Beach City,931,Landstown Middle,1280,NA,1280
2022-2023,128,Virginia Beach City,970,Larkspur Middle,1538,NA,1538
2022-2023,128,Virginia Beach City,330,Linkhorn Park Elementary,517,NA,517
2022-2023,128,Virginia Beach City,460,Luxford Elementary,508,NA,508
2022-2023,128,Virginia Beach City,520,Lynnhaven Elementary,362,NA,362
2022-2023,128,Virginia Beach City,730,Lynnhaven Middle,886,NA,886
2022-2023,128,Virginia Beach City,500,Malibu Elementary,410,NA,410
2022-2023,128,Virginia Beach City,1020,New Castle Elementary,715,NA,715
2022-2023,128,Virginia Beach City,710,Newtown Elementary,443,NA,443
2022-2023,128,Virginia Beach City,760,North Landing Elementary,455,NA,455
2022-2023,128,Virginia Beach City,880,Ocean Lakes Elementary,572,NA,572
2022-2023,128,Virginia Beach City,960,Ocean Lakes High,1860,NA,1860
2022-2023,128,Virginia Beach City,80,Old Donation School,1335,NA,1335
2022-2023,128,Virginia Beach City,820,Parkway Elementary,469,NA,469
2022-2023,128,Virginia Beach City,490,Pembroke Elementary,522,NA,522
2022-2023,128,Virginia Beach City,660,Pembroke Meadows Elementary,497,NA,497
2022-2023,128,Virginia Beach City,640,Plaza Middle,1037,NA,1037
2022-2023,128,Virginia Beach City,680,Point O' View Elementary,725,NA,725
2022-2023,128,Virginia Beach City,340,Princess Anne Elementary,683,NA,683
2022-2023,128,Virginia Beach City,321,Princess Anne High,1721,NA,1721
2022-2023,128,Virginia Beach City,750,Princess Anne Middle,1401,NA,1401
2022-2023,128,Virginia Beach City,692,Providence Elementary,530,NA,530
2022-2023,128,Virginia Beach City,900,Red Mill Elementary,566,NA,566
2022-2023,128,Virginia Beach City,810,Rosemont Elementary,431,NA,431
2022-2023,128,Virginia Beach City,840,Rosemont Forest Elementary,515,NA,515
2022-2023,128,Virginia Beach City,830,Salem Elementary,556,NA,556
2022-2023,128,Virginia Beach City,850,Salem High,1655,NA,1655
2022-2023,128,Virginia Beach City,50,Salem Middle,1077,NA,1077
2022-2023,128,Virginia Beach City,290,Seatack Elementary an Achievable Dream Academy,379,NA,379
2022-2023,128,Virginia Beach City,300,Shelton Park Elementary,427,NA,427
2022-2023,128,Virginia Beach City,940,Strawbridge Elementary,620,NA,620
2022-2023,128,Virginia Beach City,910,Tallwood Elementary,594,NA,594
2022-2023,128,Virginia Beach City,920,Tallwood High,1868,NA,1868
2022-2023,128,Virginia Beach City,350,Thalia Elementary,594,NA,594
2022-2023,128,Virginia Beach City,400,Thoroughgood Elementary,749,NA,749
2022-2023,128,Virginia Beach City,100,Three Oaks Elementary,660,NA,660
2022-2023,128,Virginia Beach City,510,Trantwood Elementary,500,NA,500
2022-2023,128,Virginia Beach City,140,Virginia Beach Middle,589,NA,589
2022-2023,128,Virginia Beach City,130,W.T. Cooke Elementary,523,NA,523
2022-2023,128,Virginia Beach City,20,White Oaks Elementary,680,NA,680
2022-2023,128,Virginia Beach City,470,Williams Elementary,409,NA,409
2022-2023,128,Virginia Beach City,670,Windsor Oaks Elementary,511,NA,511
2022-2023,128,Virginia Beach City,560,Windsor Woods Elementary,427,NA,427
2022-2023,128,Virginia Beach City,390,Woodstock Elementary,664,NA,664
2022-2023,93,Warren County,90,A.S. Rhodes Elementary,274,NA,274
2022-2023,93,Warren County,140,E. Wilson Morrison Elementary,449,NA,449
2022-2023,93,Warren County,371,Hilda J. Barbour Elementary,469,NA,469
2022-2023,93,Warren County,20,Leslie Fox Keyser Elementary,496,NA,496
2022-2023,93,Warren County,240,Ressie Jeffries Elementary,639,NA,639
2022-2023,93,Warren County,250,Skyline High,894,NA,894
2022-2023,93,Warren County,260,Skyline Middle,569,NA,569
2022-2023,93,Warren County,230,Warren County High,834,1,835
2022-2023,93,Warren County,280,Warren County Middle,544,1,545
2022-2023,94,Washington County,1080,Abingdon Elementary,423,NA,423
2022-2023,94,Washington County,1030,Abingdon High,869,NA,869
2022-2023,94,Washington County,40,Damascus Middle,170,NA,170
2022-2023,94,Washington County,1110,E.B. Stanley Middle,644,NA,644
2022-2023,94,Washington County,1090,Glade Spring Middle,254,NA,254
2022-2023,94,Washington County,260,Greendale Elementary,294,NA,294
2022-2023,94,Washington County,1070,High Point Elementary,596,NA,596
2022-2023,94,Washington County,1060,Holston High,246,NA,246
2022-2023,94,Washington County,1040,John S. Battle High,659,1,660
2022-2023,94,Washington County,20,Meadowview Elementary,551,NA,551
2022-2023,94,Washington County,1050,Patrick Henry High,367,2,369
2022-2023,94,Washington County,50,Rhea Valley Elementary,409,NA,409
2022-2023,94,Washington County,1020,Valley Institute Elementary,277,NA,277
2022-2023,94,Washington County,620,Wallace Middle,426,NA,426
2022-2023,94,Washington County,70,Watauga Elementary,557,NA,557
2022-2023,130,Waynesboro City,650,Berkeley Glenn Elementary,254,NA,254
2022-2023,130,Waynesboro City,640,Kate Collins Middle,644,NA,644
2022-2023,130,Waynesboro City,620,Wayne Hills Center,185,NA,185
2022-2023,130,Waynesboro City,600,Waynesboro High,906,1,907
2022-2023,130,Waynesboro City,580,Wenonah Elementary,223,NA,223
2022-2023,130,Waynesboro City,630,Westwood Hills Elementary,384,NA,384
2022-2023,130,Waynesboro City,751,William Perry Elementary,446,NA,446
2022-2023,207,West Point,280,West Point Elementary,370,NA,370
2022-2023,207,West Point,290,West Point Middle/High,440,NA,440
2022-2023,95,Westmoreland County,210,Cople Elementary,381,NA,381
2022-2023,95,Westmoreland County,300,Montross Middle,309,NA,309
2022-2023,95,Westmoreland County,310,Washington District Elementary,385,NA,385
2022-2023,95,Westmoreland County,120,Westmoreland High,486,NA,486
2022-2023,131,Williamsburg-James City County,60,Berkeley Middle,652,NA,652
2022-2023,131,Williamsburg-James City County,40,Clara Byrd Baker Elementary,507,48,555
2022-2023,131,Williamsburg-James City County,80,D.J. Montague Elementary,514,19,533
2022-2023,131,Williamsburg-James City County,190,J. Blaine Blayton Elementary,478,71,549
2022-2023,131,Williamsburg-James City County,25,James Blair Middle,546,NA,546
2022-2023,131,Williamsburg-James City County,201,James River Elementary,431,NA,431
2022-2023,131,Williamsburg-James City County,202,Jamestown High,1232,NA,1232
2022-2023,131,Williamsburg-James City County,90,Lafayette High,1213,NA,1213
2022-2023,131,Williamsburg-James City County,50,Laurel Lane Elementary,511,53,564
2022-2023,131,Williamsburg-James City County,191,Lois Hornsby Middle,790,NA,790
2022-2023,131,Williamsburg-James City County,205,Matoaka Elementary,642,NA,642
2022-2023,131,Williamsburg-James City County,10,Matthew Whaley Elementary,435,NA,435
2022-2023,131,Williamsburg-James City County,70,Norge Elementary,631,64,695
2022-2023,131,Williamsburg-James City County,203,Stonehouse Elementary,802,NA,802
2022-2023,131,Williamsburg-James City County,100,Toano Middle,678,NA,678
2022-2023,131,Williamsburg-James City County,204,Warhill High,1325,NA,1325
2022-2023,132,Winchester City,75,Daniel Morgan Intermediate,615,NA,615
2022-2023,132,Winchester City,70,Daniel Morgan Middle,613,NA,613
2022-2023,132,Winchester City,80,Frederick Douglass Elementary,325,NA,325
2022-2023,132,Winchester City,50,Garland R. Quarles Elementary,364,NA,364
2022-2023,132,Winchester City,40,John Handley High,1384,NA,1384
2022-2023,132,Winchester City,90,John Kerr Elementary,526,NA,526
2022-2023,132,Winchester City,20,Virginia Avenue Charlotte Dehart Elementary,441,NA,441
2022-2023,96,Wise County,1000,Central High,674,NA,674
2022-2023,96,Wise County,651,Coeburn Middle,307,NA,307
2022-2023,96,Wise County,653,Coeburn Primary,466,NA,466
2022-2023,96,Wise County,652,Eastside High,390,NA,390
2022-2023,96,Wise County,73,J.W. Adams Combined,504,NA,504
2022-2023,96,Wise County,320,L.F. Addington Middle,451,NA,451
2022-2023,96,Wise County,871,St. Paul Elementary,469,NA,469
2022-2023,96,Wise County,1010,Union High,601,NA,601
2022-2023,96,Wise County,1013,Union Middle,583,NA,583
2022-2023,96,Wise County,1012,Union Primary,861,NA,861
2022-2023,96,Wise County,1020,Wise Primary,607,NA,607
2022-2023,97,Wythe County,760,Fort Chiswell High,435,NA,435
2022-2023,97,Wythe County,1073,Fort Chiswell Middle,316,NA,316
2022-2023,97,Wythe County,721,George Wythe High,462,1,463
2022-2023,97,Wythe County,730,Jackson Memorial Elementary,212,NA,212
2022-2023,97,Wythe County,100,Max Meadows Elementary,205,NA,205
2022-2023,97,Wythe County,201,Rural Retreat Elementary,362,NA,362
2022-2023,97,Wythe County,202,Rural Retreat High,312,NA,312
2022-2023,97,Wythe County,1074,Rural Retreat Middle,231,NA,231
2022-2023,97,Wythe County,1075,Scott Memorial Middle,318,NA,318
2022-2023,97,Wythe County,740,Sheffey Elementary,243,NA,243
2022-2023,97,Wythe County,440,Speedwell Elementary,158,NA,158
2022-2023,97,Wythe County,190,Spiller Elementary,625,NA,625
2022-2023,98,York County,180,Bethel Manor Elementary,562,60,622
2022-2023,98,York County,20,Bruton High,711,NA,711
2022-2023,98,York County,90,Coventry Elementary,623,23,646
2022-2023,98,York County,160,Dare Elementary,380,10,390
2022-2023,98,York County,140,Grafton Bethel Elementary,599,23,622
2022-2023,98,York County,332,Grafton High,1212,NA,1212
2022-2023,98,York County,333,Grafton Middle,874,NA,874
2022-2023,98,York County,10,Magruder Elementary,663,40,703
2022-2023,98,York County,80,Mount Vernon Elementary,561,17,578
2022-2023,98,York County,200,Queens Lake Middle,574,NA,574
2022-2023,98,York County,170,Seaford Elementary,472,32,504
2022-2023,98,York County,50,Tabb Elementary,644,40,684
2022-2023,98,York County,230,Tabb High,1123,1,1124
2022-2023,98,York County,190,Tabb Middle,903,NA,903
2022-2023,98,York County,220,Waller Mill Elementary,364,28,392
2022-2023,98,York County,30,York High,1052,NA,1052
2022-2023,98,York County,335,York River Academy,68,NA,68
2022-2023,98,York County,210,Yorktown Elementary,613,41,654
2022-2023,98,York County,60,Yorktown Middle,644,NA,644
2023-2024,1,Accomack County,701,Accawmacke Elementary,426,NA,426
2023-2024,1,Accomack County,540,Arcadia High,695,NA,695
2023-2024,1,Accomack County,704,Arcadia Middle,487,NA,487
2023-2024,1,Accomack County,80,Chincoteague Elementary,226,NA,226
2023-2024,1,Accomack County,580,Chincoteague High,296,NA,296
2023-2024,1,Accomack County,600,Kegotank Elementary,455,NA,455
2023-2024,1,Accomack County,702,Metompkin Elementary,558,NA,558
2023-2024,1,Accomack County,70,Nandua High,632,NA,632
2023-2024,1,Accomack County,703,Nandua Middle,468,NA,468
2023-2024,1,Accomack County,590,Pungoteague Elementary,442,NA,442
2023-2024,1,Accomack County,530,Tangier Combined,41,NA,41
2023-2024,2,Albemarle County,160,Agnor-Hurt Elementary,474,NA,474
2023-2024,2,Albemarle County,880,Albemarle High,2013,6,2019
2023-2024,2,Albemarle County,1053,Baker-Butler Elem,735,NA,735
2023-2024,2,Albemarle County,100,Broadus Wood Elementary,284,NA,284
2023-2024,2,Albemarle County,941,Brownsville Elementary,572,NA,572
2023-2024,2,Albemarle County,890,Community Lab School,179,NA,179
2023-2024,2,Albemarle County,340,Crozet Elementary,545,NA,545
2023-2024,2,Albemarle County,10,Hollymead Elementary,347,NA,347
2023-2024,2,Albemarle County,250,Ivy Elementary,352,NA,352
2023-2024,2,Albemarle County,69,Jackson P. Burley Middle,552,NA,552
2023-2024,2,Albemarle County,942,Joseph T. Henley Middle,804,NA,804
2023-2024,2,Albemarle County,950,Journey Middle,608,NA,608
2023-2024,2,Albemarle County,1051,Lakeside Middle,520,NA,520
2023-2024,2,Albemarle County,20,Leslie H. Walton Middle,329,1,330
2023-2024,2,Albemarle County,40,Mary Carr Greer Elementary,496,NA,496
2023-2024,2,Albemarle County,1052,Monticello High,1206,5,1211
2023-2024,2,Albemarle County,150,Mountain View Elementary,756,NA,756
2023-2024,2,Albemarle County,540,Red Hill Elementary,196,NA,196
2023-2024,2,Albemarle County,30,Scottsville Elementary,211,NA,211
2023-2024,2,Albemarle County,920,Stone Robinson Elementary,488,NA,488
2023-2024,2,Albemarle County,240,Stony Point Elementary,188,NA,188
2023-2024,2,Albemarle County,910,Virginia L. Murray Elementary,277,NA,277
2023-2024,2,Albemarle County,140,Western Albemarle High,1164,2,1166
2023-2024,2,Albemarle County,930,Woodbrook Elementary,525,NA,525
2023-2024,101,Alexandria City,210,Alexandria City High School,4559,4,4563
2023-2024,101,Alexandria City,120,Charles Barrett Elementary,584,2,586
2023-2024,101,Alexandria City,160,Cora Kelly School for Math Science and Technology,309,NA,309
2023-2024,101,Alexandria City,110,Douglas MacArthur Elementary,640,2,642
2023-2024,101,Alexandria City,360,Early Childhood Center,202,NA,202
2023-2024,101,Alexandria City,350,Ferdinand T. Day Elementary,621,NA,621
2023-2024,101,Alexandria City,140,Francis C. Hammond Middle,1510,1,1511
2023-2024,101,Alexandria City,100,George Mason Elementary,336,NA,336
2023-2024,101,Alexandria City,130,George Washington Middle,1359,1,1360
2023-2024,101,Alexandria City,220,James K. Polk Elementary,833,NA,833
2023-2024,101,Alexandria City,90,Jefferson-Houston PK-8 School,587,4,591
2023-2024,101,Alexandria City,230,John Adams Elementary,746,NA,746
2023-2024,101,Alexandria City,80,Lyles-Crouch Elementary,434,6,440
2023-2024,101,Alexandria City,30,Mount Vernon Elementary,902,3,905
2023-2024,101,Alexandria City,60,Naomi L. Brooks Elementary,345,1,346
2023-2024,101,Alexandria City,50,Patrick Henry K-8 School,1058,NA,1058
2023-2024,101,Alexandria City,333,Samuel W. Tucker Elementary,736,NA,736
2023-2024,101,Alexandria City,190,William Ramsay Elementary,654,NA,654
2023-2024,3,Alleghany Highlands,310,Alleghany High,831,1,832
2023-2024,3,Alleghany Highlands,110,Callaghan Elementary,257,NA,257
2023-2024,3,Alleghany Highlands,1040,Covington Middle,622,NA,622
2023-2024,3,Alleghany Highlands,360,Jeter-Watson Elementary,502,NA,502
2023-2024,3,Alleghany Highlands,1041,Mountain View Elementary,435,NA,435
2023-2024,3,Alleghany Highlands,90,Sharon Elementary,188,NA,188
2023-2024,4,Amelia County,220,Amelia County Elementary,758,NA,758
2023-2024,4,Amelia County,10,Amelia County High,497,NA,497
2023-2024,4,Amelia County,210,Amelia County Middle,351,NA,351
2023-2024,5,Amherst County,780,Amelon Elementary,415,NA,415
2023-2024,5,Amherst County,750,Amherst County High,1243,NA,1243
2023-2024,5,Amherst County,790,Amherst Elementary,267,NA,267
2023-2024,5,Amherst County,670,Amherst Middle,356,NA,356
2023-2024,5,Amherst County,770,Central Elementary,323,NA,323
2023-2024,5,Amherst County,760,Elon Elementary,318,NA,318
2023-2024,5,Amherst County,500,Madison Heights Elementary,429,NA,429
2023-2024,5,Amherst County,20,Monelison Middle,512,NA,512
2023-2024,5,Amherst County,740,Temperance Elementary,102,NA,102
2023-2024,6,Appomattox County,260,Appomattox County High,718,NA,718
2023-2024,6,Appomattox County,110,Appomattox Elementary,533,NA,533
2023-2024,6,Appomattox County,160,Appomattox Middle,512,NA,512
2023-2024,6,Appomattox County,250,Appomattox Primary,609,NA,609
2023-2024,7,Arlington County,350,Abingdon Elementary,717,NA,717
2023-2024,7,Arlington County,160,Alice West Fleet Elementary,593,NA,593
2023-2024,7,Arlington County,618,Arlington Community High,149,NA,149
2023-2024,7,Arlington County,629,Arlington Science Focus School,583,NA,583
2023-2024,7,Arlington County,470,Arlington Traditional,663,NA,663
2023-2024,7,Arlington County,490,Ashlawn Elementary,530,NA,530
2023-2024,7,Arlington County,150,Barcroft Elementary,474,NA,474
2023-2024,7,Arlington County,250,Barrett Elementary,519,NA,519
2023-2024,7,Arlington County,615,Campbell Elementary,406,NA,406
2023-2024,7,Arlington County,380,Cardinal Elementary,714,NA,714
2023-2024,7,Arlington County,90,Carlin Springs Elementary,547,NA,547
2023-2024,7,Arlington County,622,Claremont Immersion,622,NA,622
2023-2024,7,Arlington County,626,Discovery Elementary,523,NA,523
2023-2024,7,Arlington County,628,Dorothy Hamm Middle,933,NA,933
2023-2024,7,Arlington County,200,Dr. Charles R. Drew Elementary,435,NA,435
2023-2024,7,Arlington County,111,Escuela Key Elementary,579,NA,579
2023-2024,7,Arlington County,100,Glebe Elementary,543,NA,543
2023-2024,7,Arlington County,611,Gunston Middle,1031,NA,1031
2023-2024,7,Arlington County,614,Hoffman-Boston Elementary,602,NA,602
2023-2024,7,Arlington County,613,Innovation Elementary,496,NA,496
2023-2024,7,Arlington County,37,Integration Station,31,NA,31
2023-2024,7,Arlington County,440,Jamestown Elementary,465,NA,465
2023-2024,7,Arlington County,180,Jefferson Middle,1090,NA,1090
2023-2024,7,Arlington County,500,Kenmore Middle,1009,NA,1009
2023-2024,7,Arlington County,460,Long Branch Elementary,423,NA,423
2023-2024,7,Arlington County,627,Montessori Public School of Arlington,517,NA,517
2023-2024,7,Arlington County,410,Nottingham Elementary,374,NA,374
2023-2024,7,Arlington County,360,Oakridge Elementary,645,NA,645
2023-2024,7,Arlington County,510,Randolph Elementary,396,NA,396
2023-2024,7,Arlington County,240,Swanson Middle,965,NA,965
2023-2024,7,Arlington County,420,Taylor Elementary,530,NA,530
2023-2024,7,Arlington County,211,Tuckahoe Elementary,453,NA,453
2023-2024,7,Arlington County,450,Wakefield High,2722,NA,2722
2023-2024,7,Arlington County,80,Washington-Liberty High,2904,NA,2904
2023-2024,7,Arlington County,480,Williamsburg Middle,856,NA,856
2023-2024,7,Arlington County,330,Yorktown High,2495,2,2497
2023-2024,8,Augusta County,212,Beverley Manor Middle,612,NA,612
2023-2024,8,Augusta County,660,Buffalo Gap High,416,NA,416
2023-2024,8,Augusta County,30,Cassell Elementary,639,NA,639
2023-2024,8,Augusta County,140,Churchville Elementary,449,NA,449
2023-2024,8,Augusta County,370,Craigsville Elementary,128,NA,128
2023-2024,8,Augusta County,842,Edward G. Clymore Elementary,776,NA,776
2023-2024,8,Augusta County,670,Fort Defiance High,737,1,738
2023-2024,8,Augusta County,843,Guy K. Stump Elementary,453,NA,453
2023-2024,8,Augusta County,40,North River Elementary,237,NA,237
2023-2024,8,Augusta County,740,Riverheads Elementary,721,NA,721
2023-2024,8,Augusta County,680,Riverheads High,447,1,448
2023-2024,8,Augusta County,90,S. Gordon Stewart Middle,516,NA,516
2023-2024,8,Augusta County,440,Stuarts Draft Elementary,613,NA,613
2023-2024,8,Augusta County,730,Stuarts Draft High,712,1,713
2023-2024,8,Augusta County,60,Stuarts Draft Middle,504,NA,504
2023-2024,8,Augusta County,640,Wilson Elementary,660,NA,660
2023-2024,8,Augusta County,720,Wilson Memorial High,863,2,865
2023-2024,8,Augusta County,844,Wilson Middle,656,NA,656
2023-2024,9,Bath County,140,Bath County High,183,NA,183
2023-2024,9,Bath County,120,Millboro Elementary,141,NA,141
2023-2024,9,Bath County,150,Valley Elementary,185,NA,185
2023-2024,10,Bedford County,480,Bedford Elementary,447,NA,447
2023-2024,10,Bedford County,1200,Bedford Primary,289,NA,289
2023-2024,10,Bedford County,30,Big Island Elementary,148,NA,148
2023-2024,10,Bedford County,160,Boonsboro Elementary,321,NA,321
2023-2024,10,Bedford County,500,Forest Elementary,362,NA,362
2023-2024,10,Bedford County,1211,Forest Middle,890,NA,890
2023-2024,10,Bedford County,1214,Goodview Elementary,506,NA,506
2023-2024,10,Bedford County,980,Huddleston Elementary,223,NA,223
2023-2024,10,Bedford County,1212,Jefferson Forest High,1311,NA,1311
2023-2024,10,Bedford County,1180,Liberty High,727,NA,727
2023-2024,10,Bedford County,490,Liberty Middle,535,NA,535
2023-2024,10,Bedford County,970,Moneta Elementary,230,NA,230
2023-2024,10,Bedford County,180,Montvale Elementary,260,NA,260
2023-2024,10,Bedford County,610,New London Academy Elementary,327,NA,327
2023-2024,10,Bedford County,1170,Otter River Elementary,169,NA,169
2023-2024,10,Bedford County,1190,Staunton River High,869,NA,869
2023-2024,10,Bedford County,1191,Staunton River Middle,584,NA,584
2023-2024,10,Bedford County,640,Stewartsville Elementary,323,NA,323
2023-2024,10,Bedford County,1213,Thomas Jefferson Elementary,540,NA,540
2023-2024,11,Bland County,250,Bland County Elementary,357,NA,357
2023-2024,11,Bland County,260,Bland County High,436,NA,436
2023-2024,12,Botetourt County,220,Breckinridge Elementary,201,NA,201
2023-2024,12,Botetourt County,20,Buchanan Elementary,300,NA,300
2023-2024,12,Botetourt County,420,Central Academy Middle,362,NA,362
2023-2024,12,Botetourt County,390,Cloverdale Elementary,243,NA,243
2023-2024,12,Botetourt County,400,Colonial Elementary,461,NA,461
2023-2024,12,Botetourt County,30,Eagle Rock Elementary,123,NA,123
2023-2024,12,Botetourt County,460,Greenfield Elementary,435,NA,435
2023-2024,12,Botetourt County,430,James River High,461,NA,461
2023-2024,12,Botetourt County,440,Lord Botetourt High,983,NA,983
2023-2024,12,Botetourt County,450,Read Mountain Middle,661,NA,661
2023-2024,12,Botetourt County,40,Troutville Elementary,258,NA,258
2023-2024,102,Bristol City,60,Highland View Elementary,164,NA,164
2023-2024,102,Bristol City,100,Joseph Van Pelt Elementary,425,NA,425
2023-2024,102,Bristol City,70,Stonewall Jackson Elementary,263,NA,263
2023-2024,102,Bristol City,80,Virginia High,625,NA,625
2023-2024,102,Bristol City,10,Virginia Middle,458,NA,458
2023-2024,102,Bristol City,90,Washington-Lee Elementary,219,NA,219
2023-2024,13,Brunswick County,650,Brunswick High,422,NA,422
2023-2024,13,Brunswick County,660,James S. Russell Middle,295,NA,295
2023-2024,13,Brunswick County,690,Meherrin Powellton Elementary,184,NA,184
2023-2024,13,Brunswick County,700,Red Oak-Sturgeon Elementary,184,NA,184
2023-2024,13,Brunswick County,720,Totaro Elementary,310,NA,310
2023-2024,14,Buchanan County,90,Council Elementary/Middle,194,NA,194
2023-2024,14,Buchanan County,1000,Council High,111,NA,111
2023-2024,14,Buchanan County,990,Grundy High,348,NA,348
2023-2024,14,Buchanan County,120,Hurley Elementary/Middle,322,NA,322
2023-2024,14,Buchanan County,1020,Hurley High,226,NA,226
2023-2024,14,Buchanan County,1040,Riverview Elementary/Middle,729,NA,729
2023-2024,14,Buchanan County,1041,Twin Valley Elementary/Middle,262,NA,262
2023-2024,14,Buchanan County,1042,Twin Valley High,186,NA,186
2023-2024,15,Buckingham County,724,Buckingham Co Elementary,392,NA,392
2023-2024,15,Buckingham County,20,Buckingham Co Prekindergarten Center,108,NA,108
2023-2024,15,Buckingham County,723,Buckingham Co Primary,351,NA,351
2023-2024,15,Buckingham County,700,Buckingham County High,685,NA,685
2023-2024,15,Buckingham County,721,Buckingham County Middle,430,NA,430
2023-2024,103,Buena Vista City,40,Enderly Heights Elementary,247,NA,247
2023-2024,103,Buena Vista City,70,F.W. Kling Jr. Elementary,176,NA,176
2023-2024,103,Buena Vista City,62,Parry McCluer High,314,NA,314
2023-2024,103,Buena Vista City,61,Parry McCluer Middle,119,NA,119
2023-2024,16,Campbell County,560,Altavista Elementary,521,NA,521
2023-2024,16,Campbell County,200,Altavista High,634,NA,634
2023-2024,16,Campbell County,650,Brookneal Elementary,426,NA,426
2023-2024,16,Campbell County,720,Brookville High,1015,NA,1015
2023-2024,16,Campbell County,20,Brookville Middle,678,NA,678
2023-2024,16,Campbell County,130,Concord Elementary,412,NA,412
2023-2024,16,Campbell County,690,Leesville Road Elementary,642,NA,642
2023-2024,16,Campbell County,821,Rustburg Elementary,442,NA,442
2023-2024,16,Campbell County,222,Rustburg High,851,NA,851
2023-2024,16,Campbell County,211,Rustburg Middle,631,NA,631
2023-2024,16,Campbell County,60,Tomahawk Elementary,679,NA,679
2023-2024,16,Campbell County,542,William Campbell High,405,NA,405
2023-2024,16,Campbell County,710,Yellow Branch Elementary,560,NA,560
2023-2024,17,Caroline County,620,Bowling Green Elementary,811,NA,811
2023-2024,17,Caroline County,460,Caroline High,1278,NA,1278
2023-2024,17,Caroline County,450,Caroline Middle,1000,NA,1000
2023-2024,17,Caroline County,9020,Lewis and Clark Elementary,983,NA,983
2023-2024,17,Caroline County,630,Madison Elementary,492,NA,492
2023-2024,18,Carroll County,1230,Carroll County High,1057,2,1059
2023-2024,18,Carroll County,450,Carroll County Middle,726,NA,726
2023-2024,18,Carroll County,1180,Fancy Gap Elementary,131,NA,131
2023-2024,18,Carroll County,1150,Gladesboro Elementary,93,NA,93
2023-2024,18,Carroll County,1210,Gladeville Elementary,259,NA,259
2023-2024,18,Carroll County,1170,Hillsville Elementary,467,NA,467
2023-2024,18,Carroll County,1160,Laurel Elementary,217,NA,217
2023-2024,18,Carroll County,1130,Oakland Elementary,187,NA,187
2023-2024,18,Carroll County,1110,St. Paul,305,NA,305
2023-2024,19,Charles City County,80,Charles City County Elementary,315,NA,315
2023-2024,19,Charles City County,100,Charles City County High,215,NA,215
2023-2024,20,Charlotte County,470,Bacon District Elementary,170,NA,170
2023-2024,20,Charlotte County,210,Central Middle,385,NA,385
2023-2024,20,Charlotte County,100,Eureka Elementary,447,NA,447
2023-2024,20,Charlotte County,450,Phenix Elementary,226,NA,226
2023-2024,20,Charlotte County,460,Randolph-Henry High,477,NA,477
2023-2024,104,Charlottesville City,100,Buford Middle,559,2,561
2023-2024,104,Charlottesville City,70,Burnley-Moran Elementary,285,NA,285
2023-2024,104,Charlottesville City,140,Charlottesville High,1405,6,1411
2023-2024,104,Charlottesville City,50,Clark Elementary,308,NA,308
2023-2024,104,Charlottesville City,90,Greenbrier Elementary,270,NA,270
2023-2024,104,Charlottesville City,120,Jackson-Via Elementary,351,NA,351
2023-2024,104,Charlottesville City,10,Johnson Elementary,329,NA,329
2023-2024,104,Charlottesville City,40,Venable Elementary,322,NA,322
2023-2024,104,Charlottesville City,110,Walker Upper Elementary,604,3,607
