school_year,division_number,division_name,behavior_category_code,behavior_category,behavior_code,behavior,number_of_events,region_name,region_number,GEOID
2023-2024,1,Accomack County,RB,Relationship Behaviors,RB4,"Saying or writing either directly or through electronic communication sexually suggestive comments, innuendos, propositions, or other remarks of a sexual nature",2,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC27,Weapons: Possessing any weapon (other than a firearm) as defined by § 18.2-308.1.,3,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC26,Possessing dangerous instruments/substances that could be used to inflict harm upon another,1,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC25,Trespassing,1,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC24,Leaving school grounds without permission,16,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC22,Stealing money or property using physical force (no weapon involved),4,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",2,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",64,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",23,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC14,Fighting that results in no injury as determined by the school administration,142,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,70,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC11,Fire alarm: Falsely activating a fire or other disaster alarm,2,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC10,Bus: Endangering the safety of others on the bus,21,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC9,Bus: Distracting the bus driver,193,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC8,Harassment: Repeatedly annoying or attacking a student or a group of students or personnel creating  an intimidating or hostile educational or work environment ,15,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC6,Bullying Behavior without physical injury that continues after intervention (See Link: Model Policy to Addressing Bullying in Virginia¿s Public Schools) Bullying that leads to physical injury should be classified as Assault and Battery.,1,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC5,"Tobacco: Possessing/Using/Distributing tobacco products, possessing tobacco paraphernalia, electronic cigarettes, vaping equipment",56,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC3,Drugs: Possessing drug paraphernalia,11,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",3,Tidewater,2,51001
2023-2024,1,Accomack County,BSC,Behaviors of a Safety Concern,BSC18,"Exposing body parts, lewd or indecent public behavior",6,Tidewater,2,51001
2023-2024,1,Accomack County,BESO,Behaviors that Endanger Self or Others,BESO7,Drugs: Using controlled substances or using  illegal drugs or synthetic hallucinogens or unauthorized prescription medications ,3,Tidewater,2,51001
2023-2024,1,Accomack County,BESO,Behaviors that Endanger Self or Others,BESO1,Assault: Intending to cause physical injury to another person,6,Tidewater,2,51001
2023-2024,1,Accomack County,BESO,Behaviors that Endanger Self or Others,BESO2,Assault and Battery: Causing physical injury to another person,2,Tidewater,2,51001
2023-2024,1,Accomack County,BESO,Behaviors that Endanger Self or Others,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,8,Tidewater,2,51001
2023-2024,1,Accomack County,BESO,Behaviors that Endanger Self or Others,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",15,Tidewater,2,51001
2023-2024,1,Accomack County,BESO,Behaviors that Endanger Self or Others,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",1,Tidewater,2,51001
2023-2024,1,Accomack County,BESO,Behaviors that Endanger Self or Others,BESO17,Bomb threat - Making a bomb threat,1,Tidewater,2,51001
2023-2024,1,Accomack County,BESO,Behaviors that Endanger Self or Others,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",17,Tidewater,2,51001
2023-2024,1,Accomack County,BESO,Behaviors that Endanger Self or Others,BESO13,"Threatening, intimidating,¿or instigating violence, injury or harm to another student(s) or other(s) (not including written threats)",32,Tidewater,2,51001
2023-2024,1,Accomack County,BESO,Behaviors that Endanger Self or Others,BESO14,"Threatening, intimidation, or instigating violence, injury or harm to another student(s) or other(s) in writing. If the written threat is to a staff member, a report to law enforcement is required unless the student making the threat has a disability.",3,Tidewater,2,51001
2023-2024,1,Accomack County,BESO,Behaviors that Endanger Self or Others,BESO15,Using an object not generally considered to be a weapon to threaten or attempt to injure school personnel,1,Tidewater,2,51001
2023-2024,1,Accomack County,BESO,Behaviors that Endanger Self or Others,BESO16,Using an object not generally considered to be a weapon to threaten or attempt to injure students or others,3,Tidewater,2,51001
2023-2024,1,Accomack County,PD,Behaviors to Determine Persistently Dangerous Schools,PD16,Illegal Possession of Controlled Drugs and Substances with Intent to Distribute or Sell,1,Tidewater,2,51001
2023-2024,2,Albemarle County,BAP,Behaviors that Impede Academic Progress,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",488,Valley,5,51003
2023-2024,2,Albemarle County,BAP,Behaviors that Impede Academic Progress,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",98,Valley,5,51003
2023-2024,2,Albemarle County,BAP,Behaviors that Impede Academic Progress,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",12,Valley,5,51003
2023-2024,2,Albemarle County,BAP,Behaviors that Impede Academic Progress,BAP4,Unexcused tardiness to class,101,Valley,5,51003
2023-2024,2,Albemarle County,BSO,Behaviors related to School Operations,BSO7,Dress Code Violation,1,Valley,5,51003
2023-2024,2,Albemarle County,BSO,Behaviors related to School Operations,BSO9,"Possessing items that are inappropriate for school (examples include toys, literature, electronics)",5,Valley,5,51003
2023-2024,2,Albemarle County,BSO,Behaviors related to School Operations,BSO10,Possession of stolen items,11,Valley,5,51003
2023-2024,2,Albemarle County,BSO,Behaviors related to School Operations,BSO11,Unauthorized use of school electronic or other equipment,12,Valley,5,51003
2023-2024,2,Albemarle County,BSO,Behaviors related to School Operations,BSO12,Violation of the Acceptable Use of Technology/internet policy,41,Valley,5,51003
2023-2024,2,Albemarle County,BSO,Behaviors related to School Operations,BSO13,Violation of school board policy regarding the possession or use of portable communication devices,135,Valley,5,51003
2023-2024,2,Albemarle County,BSO,Behaviors related to School Operations,BSO14,"Vandalism, graffiti or other damage to school or personal property",51,Valley,5,51003
2023-2024,2,Albemarle County,BSO,Behaviors related to School Operations,BSO15,Student is not going to class as assigned,562,Valley,5,51003
2023-2024,2,Albemarle County,BSO,Behaviors related to School Operations,BSO16,Student is in an unauthorized area of the campus (NOT related to school or class attendance/nonattendance).,74,Valley,5,51003
2023-2024,2,Albemarle County,BSO,Behaviors related to School Operations,BSO6,Bringing unauthorized persons to school or allowing unauthorized persons to enter the school building,5,Valley,5,51003
2023-2024,2,Albemarle County,BSO,Behaviors related to School Operations,BSO5,"Failure to attend assigned disciplinary setting (detention, in-school suspension, Saturday school)",8,Valley,5,51003
2023-2024,2,Albemarle County,BSO,Behaviors related to School Operations,BSO3,Refusal to comply with requests of staff in a way that interferes with the operation of school,622,Valley,5,51003
2023-2024,2,Albemarle County,BSO,Behaviors related to School Operations,BSO1,Altering an official document or record,2,Valley,5,51003
2023-2024,2,Albemarle County,BSO,Behaviors related to School Operations,BSO2,"Giving false information, misrepresentation",25,Valley,5,51003
2023-2024,2,Albemarle County,RB,Relationship Behaviors,RB5,Stealing money or property without physical force,22,Valley,5,51003
2023-2024,2,Albemarle County,RB,Relationship Behaviors,RB6,"Speaking to another in an uncivil, discourteous manner",159,Valley,5,51003
2023-2024,2,Albemarle County,RB,Relationship Behaviors,RB7,"Teasing, taunting, engaging in a verbal confrontation, verbally inciting a fight",93,Valley,5,51003
2023-2024,2,Albemarle County,RB,Relationship Behaviors,RB8,"Using profane or vulgar language or gestures (swearing, cursing, hate speech, gang signs or gestures)",264,Valley,5,51003
2023-2024,2,Albemarle County,RB,Relationship Behaviors,RB9,"Using slurs based upon the actual or perceived race, ethnicity, color, national origin, citizenship/immigration status, weight, gender, gender identity, gender expression, sexual orientation, or disability",68,Valley,5,51003
2023-2024,2,Albemarle County,RB,Relationship Behaviors,RB4,"Saying or writing either directly or through electronic communication sexually suggestive comments, innuendos, propositions, or other remarks of a sexual nature",14,Valley,5,51003
2023-2024,2,Albemarle County,RB,Relationship Behaviors,RB11,Unwanted or inappropriate physical contact,158,Valley,5,51003
2023-2024,2,Albemarle County,RB,Relationship Behaviors,RB3,"Posting, distributing, displaying, or sharing inappropriate material or literature, including using electronics means",18,Valley,5,51003
2023-2024,2,Albemarle County,RB,Relationship Behaviors,RB2,Cyberbullying (See Model Policy to Addressing Bullying in Virginia's  Public Schools),7,Valley,5,51003
2023-2024,2,Albemarle County,RB,Relationship Behaviors,RB1,Bullying with no physical injury (See Model Policy to Addressing Bullying in Virginia's  Public Schools),15,Valley,5,51003
2023-2024,2,Albemarle County,RB,Relationship Behaviors,RB10,Failure to respond to questions or requests by staff,233,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC7,Cyberbullying that continues after intervention (See Link: Model Policy to Addressing Bullying in Virginia¿s Public Schools) Cyberbullying that relates a threat to the safety of students and staff should be treated with a higher level of intervention and consequences.,2,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC8,Harassment: Repeatedly annoying or attacking a student or a group of students or personnel creating  an intimidating or hostile educational or work environment ,12,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC9,Bus: Distracting the bus driver,60,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC10,Bus: Endangering the safety of others on the bus,114,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC11,Fire alarm: Falsely activating a fire or other disaster alarm,3,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,210,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC14,Fighting that results in no injury as determined by the school administration,158,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,34,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",69,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",377,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC18,"Exposing body parts, lewd or indecent public behavior",24,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",8,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC22,Stealing money or property using physical force (no weapon involved),1,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC24,Leaving school grounds without permission,54,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC25,Trespassing,3,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC26,Possessing dangerous instruments/substances that could be used to inflict harm upon another,9,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC27,Weapons: Possessing any weapon (other than a firearm) as defined by § 18.2-308.1.,4,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",10,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC2,Alcohol: Distributing alcohol to other students,1,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC3,Drugs: Possessing drug paraphernalia,8,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC5,"Tobacco: Possessing/Using/Distributing tobacco products, possessing tobacco paraphernalia, electronic cigarettes, vaping equipment",98,Valley,5,51003
2023-2024,2,Albemarle County,BSC,Behaviors of a Safety Concern,BSC6,Bullying Behavior without physical injury that continues after intervention (See Link: Model Policy to Addressing Bullying in Virginia¿s Public Schools) Bullying that leads to physical injury should be classified as Assault and Battery.,5,Valley,5,51003
2023-2024,2,Albemarle County,BESO,Behaviors that Endanger Self or Others,BESO1,Assault: Intending to cause physical injury to another person,38,Valley,5,51003
2023-2024,2,Albemarle County,BESO,Behaviors that Endanger Self or Others,BESO2,Assault and Battery: Causing physical injury to another person,16,Valley,5,51003
2023-2024,2,Albemarle County,BESO,Behaviors that Endanger Self or Others,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,35,Valley,5,51003
2023-2024,2,Albemarle County,BESO,Behaviors that Endanger Self or Others,BESO4,Striking Staff: The use of force against a staff member when no injury is caused,35,Valley,5,51003
2023-2024,2,Albemarle County,BESO,Behaviors that Endanger Self or Others,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",24,Valley,5,51003
2023-2024,2,Albemarle County,BESO,Behaviors that Endanger Self or Others,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",9,Valley,5,51003
2023-2024,2,Albemarle County,BESO,Behaviors that Endanger Self or Others,BESO7,Drugs: Using controlled substances or using  illegal drugs or synthetic hallucinogens or unauthorized prescription medications ,9,Valley,5,51003
2023-2024,2,Albemarle County,BESO,Behaviors that Endanger Self or Others,BESO10,Gang-Related Behavior: Engaging in threatening or dangerous behavior that is gang-related as defined in §18.2-46.1,2,Valley,5,51003
2023-2024,2,Albemarle County,BESO,Behaviors that Endanger Self or Others,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",28,Valley,5,51003
2023-2024,2,Albemarle County,BESO,Behaviors that Endanger Self or Others,BESO13,"Threatening, intimidating,¿or instigating violence, injury or harm to another student(s) or other(s) (not including written threats)",51,Valley,5,51003
2023-2024,2,Albemarle County,BESO,Behaviors that Endanger Self or Others,BESO14,"Threatening, intimidation, or instigating violence, injury or harm to another student(s) or other(s) in writing. If the written threat is to a staff member, a report to law enforcement is required unless the student making the threat has a disability.",7,Valley,5,51003
2023-2024,2,Albemarle County,BESO,Behaviors that Endanger Self or Others,BESO16,Using an object not generally considered to be a weapon to threaten or attempt to injure students or others,2,Valley,5,51003
2023-2024,2,Albemarle County,BESO,Behaviors that Endanger Self or Others,BESO17,Bomb threat - Making a bomb threat,1,Valley,5,51003
2023-2024,2,Albemarle County,PD,Behaviors to Determine Persistently Dangerous Schools,PD16,Illegal Possession of Controlled Drugs and Substances with Intent to Distribute or Sell,1,Valley,5,51003
2023-2024,101,Alexandria City,BAP,Behaviors that Impede Academic Progress,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",19,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BAP,Behaviors that Impede Academic Progress,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",42,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BAP,Behaviors that Impede Academic Progress,BAP4,Unexcused tardiness to class,17,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BAP,Behaviors that Impede Academic Progress,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",3,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSO,Behaviors related to School Operations,BSO16,Student is in an unauthorized area of the campus (NOT related to school or class attendance/nonattendance).,23,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSO,Behaviors related to School Operations,BSO2,"Giving false information, misrepresentation",2,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSO,Behaviors related to School Operations,BSO10,Possession of stolen items,3,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSO,Behaviors related to School Operations,BSO9,"Possessing items that are inappropriate for school (examples include toys, literature, electronics)",18,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSO,Behaviors related to School Operations,BSO7,Dress Code Violation,1,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSO,Behaviors related to School Operations,BSO6,Bringing unauthorized persons to school or allowing unauthorized persons to enter the school building,3,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSO,Behaviors related to School Operations,BSO5,"Failure to attend assigned disciplinary setting (detention, in-school suspension, Saturday school)",48,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSO,Behaviors related to School Operations,BSO15,Student is not going to class as assigned,237,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSO,Behaviors related to School Operations,BSO14,"Vandalism, graffiti or other damage to school or personal property",20,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSO,Behaviors related to School Operations,BSO3,Refusal to comply with requests of staff in a way that interferes with the operation of school,285,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSO,Behaviors related to School Operations,BSO11,Unauthorized use of school electronic or other equipment,5,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSO,Behaviors related to School Operations,BSO12,Violation of the Acceptable Use of Technology/internet policy,2,Northern Virginia,4,51510
2023-2024,101,Alexandria City,RB,Relationship Behaviors,RB10,Failure to respond to questions or requests by staff,30,Northern Virginia,4,51510
2023-2024,101,Alexandria City,RB,Relationship Behaviors,RB9,"Using slurs based upon the actual or perceived race, ethnicity, color, national origin, citizenship/immigration status, weight, gender, gender identity, gender expression, sexual orientation, or disability",7,Northern Virginia,4,51510
2023-2024,101,Alexandria City,RB,Relationship Behaviors,RB8,"Using profane or vulgar language or gestures (swearing, cursing, hate speech, gang signs or gestures)",62,Northern Virginia,4,51510
2023-2024,101,Alexandria City,RB,Relationship Behaviors,RB7,"Teasing, taunting, engaging in a verbal confrontation, verbally inciting a fight",15,Northern Virginia,4,51510
2023-2024,101,Alexandria City,RB,Relationship Behaviors,RB6,"Speaking to another in an uncivil, discourteous manner",21,Northern Virginia,4,51510
2023-2024,101,Alexandria City,RB,Relationship Behaviors,RB1,Bullying with no physical injury (See Model Policy to Addressing Bullying in Virginia's  Public Schools),11,Northern Virginia,4,51510
2023-2024,101,Alexandria City,RB,Relationship Behaviors,RB2,Cyberbullying (See Model Policy to Addressing Bullying in Virginia's  Public Schools),2,Northern Virginia,4,51510
2023-2024,101,Alexandria City,RB,Relationship Behaviors,RB3,"Posting, distributing, displaying, or sharing inappropriate material or literature, including using electronics means",4,Northern Virginia,4,51510
2023-2024,101,Alexandria City,RB,Relationship Behaviors,RB11,Unwanted or inappropriate physical contact,77,Northern Virginia,4,51510
2023-2024,101,Alexandria City,RB,Relationship Behaviors,RB5,Stealing money or property without physical force,15,Northern Virginia,4,51510
2023-2024,101,Alexandria City,RB,Relationship Behaviors,RB4,"Saying or writing either directly or through electronic communication sexually suggestive comments, innuendos, propositions, or other remarks of a sexual nature",6,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC21,Stalking as described in the Code of Virginia  section 18.2-60.3,1,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",3,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC18,"Exposing body parts, lewd or indecent public behavior",6,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",58,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",39,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,17,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC14,Fighting that results in no injury as determined by the school administration,200,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,80,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC12,Fire Related: Possessing items that could be used to set or cause a fire or produce large amounts of smoke,3,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC10,Bus: Endangering the safety of others on the bus,5,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC9,Bus: Distracting the bus driver,8,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC8,Harassment: Repeatedly annoying or attacking a student or a group of students or personnel creating  an intimidating or hostile educational or work environment ,14,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC6,Bullying Behavior without physical injury that continues after intervention (See Link: Model Policy to Addressing Bullying in Virginia¿s Public Schools) Bullying that leads to physical injury should be classified as Assault and Battery.,3,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC5,"Tobacco: Possessing/Using/Distributing tobacco products, possessing tobacco paraphernalia, electronic cigarettes, vaping equipment",45,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC4,Drugs: Violating school board non-prescription (Over the counter) medication policy or look-alike drug policy,1,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC3,Drugs: Possessing drug paraphernalia,35,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",13,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC27,Weapons: Possessing any weapon (other than a firearm) as defined by § 18.2-308.1.,5,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC26,Possessing dangerous instruments/substances that could be used to inflict harm upon another,5,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC22,Stealing money or property using physical force (no weapon involved),1,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC24,Leaving school grounds without permission,18,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BSC,Behaviors of a Safety Concern,BSC25,Trespassing,1,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BESO,Behaviors that Endanger Self or Others,BESO1,Assault: Intending to cause physical injury to another person,33,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BESO,Behaviors that Endanger Self or Others,BESO2,Assault and Battery: Causing physical injury to another person,21,Northern Virginia,4,51510
2023-2024,101,Alexandria City,BESO,Behaviors that Endanger Self or Others,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,54,Northern Virginia,4,51510
