school_year,behavior_code,behavior,region_name,total_events
2021-2022,BESO1,Assault: Intending to cause physical injury to another person,Northern Neck,304
2021-2022,BESO1,Assault: Intending to cause physical injury to another person,Northern Virginia,1243
2021-2022,BESO1,Assault: Intending to cause physical injury to another person,Southside,151
2021-2022,BESO1,Assault: Intending to cause physical injury to another person,Southwest,71
2021-2022,BESO1,Assault: Intending to cause physical injury to another person,Tidewater,566
2021-2022,BESO1,Assault: Intending to cause physical injury to another person,Valley,282
2021-2022,BESO1,Assault: Intending to cause physical injury to another person,Western Virginia,232
2021-2022,BESO1,Assault: Intending to cause physical injury to another person,NA,97
2021-2022,BESO10,Gang-Related Behavior: Engaging in threatening or dangerous behavior that is gang-related as defined in §18.2-46.1,Central Virginia,12
2021-2022,BESO10,Gang-Related Behavior: Engaging in threatening or dangerous behavior that is gang-related as defined in §18.2-46.1,Northern Neck,1
2021-2022,BESO10,Gang-Related Behavior: Engaging in threatening or dangerous behavior that is gang-related as defined in §18.2-46.1,Northern Virginia,20
2021-2022,BESO10,Gang-Related Behavior: Engaging in threatening or dangerous behavior that is gang-related as defined in §18.2-46.1,Southside,2
2021-2022,BESO10,Gang-Related Behavior: Engaging in threatening or dangerous behavior that is gang-related as defined in §18.2-46.1,Southwest,2
2021-2022,BESO10,Gang-Related Behavior: Engaging in threatening or dangerous behavior that is gang-related as defined in §18.2-46.1,Tidewater,16
2021-2022,BESO10,Gang-Related Behavior: Engaging in threatening or dangerous behavior that is gang-related as defined in §18.2-46.1,Valley,10
2021-2022,BESO10,Gang-Related Behavior: Engaging in threatening or dangerous behavior that is gang-related as defined in §18.2-46.1,Western Virginia,20
2021-2022,BESO10,Gang-Related Behavior: Engaging in threatening or dangerous behavior that is gang-related as defined in §18.2-46.1,NA,3
2021-2022,BESO11,Hazing as defined in §18.2-56 and noted in § 22.1-279.6.,Central Virginia,3
2021-2022,BESO11,Hazing as defined in §18.2-56 and noted in § 22.1-279.6.,Northern Neck,1
2021-2022,BESO11,Hazing as defined in §18.2-56 and noted in § 22.1-279.6.,Northern Virginia,8
2021-2022,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",Central Virginia,497
2021-2022,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",Northern Neck,181
2021-2022,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",Northern Virginia,612
2021-2022,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",Southside,56
2021-2022,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",Southwest,64
2021-2022,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",Tidewater,621
2021-2022,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",Valley,189
2021-2022,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",Western Virginia,166
2021-2022,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",NA,67
2021-2022,BESO13,"Threatening, intimidating, or instigating violence, injury or harm to another student(s) or other(s)",Central Virginia,839
2021-2022,BESO13,"Threatening, intimidating, or instigating violence, injury or harm to another student(s) or other(s)",Northern Neck,505
2021-2022,BESO13,"Threatening, intimidating, or instigating violence, injury or harm to another student(s) or other(s)",Northern Virginia,1454
2021-2022,BESO13,"Threatening, intimidating, or instigating violence, injury or harm to another student(s) or other(s)",Southside,129
2021-2022,BESO13,"Threatening, intimidating, or instigating violence, injury or harm to another student(s) or other(s)",Southwest,231
2021-2022,BESO13,"Threatening, intimidating, or instigating violence, injury or harm to another student(s) or other(s)",Tidewater,1932
2021-2022,BESO13,"Threatening, intimidating, or instigating violence, injury or harm to another student(s) or other(s)",Valley,457
2021-2022,BESO13,"Threatening, intimidating, or instigating violence, injury or harm to another student(s) or other(s)",Western Virginia,396
2021-2022,BESO13,"Threatening, intimidating, or instigating violence, injury or harm to another student(s) or other(s)",NA,40
2021-2022,BESO15,Using an object not generally considered to be a weapon to threaten or attempt to injure school personnel,Central Virginia,18
2021-2022,BESO15,Using an object not generally considered to be a weapon to threaten or attempt to injure school personnel,Northern Neck,9
2021-2022,BESO15,Using an object not generally considered to be a weapon to threaten or attempt to injure school personnel,Northern Virginia,47
2021-2022,BESO15,Using an object not generally considered to be a weapon to threaten or attempt to injure school personnel,Southside,2
2021-2022,BESO15,Using an object not generally considered to be a weapon to threaten or attempt to injure school personnel,Southwest,3
2021-2022,BESO15,Using an object not generally considered to be a weapon to threaten or attempt to injure school personnel,Tidewater,34
2021-2022,BESO15,Using an object not generally considered to be a weapon to threaten or attempt to injure school personnel,Valley,17
2021-2022,BESO15,Using an object not generally considered to be a weapon to threaten or attempt to injure school personnel,Western Virginia,5
2021-2022,BESO15,Using an object not generally considered to be a weapon to threaten or attempt to injure school personnel,NA,5
2021-2022,BESO16,Using an object not generally considered to be a weapon to threaten or attempt to injure students or others,Central Virginia,78
2021-2022,BESO16,Using an object not generally considered to be a weapon to threaten or attempt to injure students or others,Northern Neck,28
2021-2022,BESO16,Using an object not generally considered to be a weapon to threaten or attempt to injure students or others,Northern Virginia,90
2021-2022,BESO16,Using an object not generally considered to be a weapon to threaten or attempt to injure students or others,Southside,9
2021-2022,BESO16,Using an object not generally considered to be a weapon to threaten or attempt to injure students or others,Southwest,15
2021-2022,BESO16,Using an object not generally considered to be a weapon to threaten or attempt to injure students or others,Tidewater,76
2021-2022,BESO16,Using an object not generally considered to be a weapon to threaten or attempt to injure students or others,Valley,37
2021-2022,BESO16,Using an object not generally considered to be a weapon to threaten or attempt to injure students or others,Western Virginia,23
2021-2022,BESO16,Using an object not generally considered to be a weapon to threaten or attempt to injure students or others,NA,4
2021-2022,BESO17,Bomb threat - Making a bomb threat,Central Virginia,9
2021-2022,BESO17,Bomb threat - Making a bomb threat,Northern Neck,8
2021-2022,BESO17,Bomb threat - Making a bomb threat,Northern Virginia,22
2021-2022,BESO17,Bomb threat - Making a bomb threat,Southside,8
2021-2022,BESO17,Bomb threat - Making a bomb threat,Southwest,6
2021-2022,BESO17,Bomb threat - Making a bomb threat,Tidewater,11
2021-2022,BESO17,Bomb threat - Making a bomb threat,Valley,10
2021-2022,BESO17,Bomb threat - Making a bomb threat,Western Virginia,5
2021-2022,BESO17,Bomb threat - Making a bomb threat,NA,3
2021-2022,BESO18,"A crime in the community where the student was charged with an offense relating to the Commonwealth's laws, which is not covered by any other behavior code, but required to be disclosed to the superintendent of the school division pursuant to ¿ 16.1-260(G)",Central Virginia,1
2021-2022,BESO18,"A crime in the community where the student was charged with an offense relating to the Commonwealth's laws, which is not covered by any other behavior code, but required to be disclosed to the superintendent of the school division pursuant to ¿ 16.1-260(G)",Northern Neck,6
2021-2022,BESO18,"A crime in the community where the student was charged with an offense relating to the Commonwealth's laws, which is not covered by any other behavior code, but required to be disclosed to the superintendent of the school division pursuant to ¿ 16.1-260(G)",Northern Virginia,103
2021-2022,BESO18,"A crime in the community where the student was charged with an offense relating to the Commonwealth's laws, which is not covered by any other behavior code, but required to be disclosed to the superintendent of the school division pursuant to ¿ 16.1-260(G)",Southside,4
2021-2022,BESO18,"A crime in the community where the student was charged with an offense relating to the Commonwealth's laws, which is not covered by any other behavior code, but required to be disclosed to the superintendent of the school division pursuant to ¿ 16.1-260(G)",Southwest,3
2021-2022,BESO18,"A crime in the community where the student was charged with an offense relating to the Commonwealth's laws, which is not covered by any other behavior code, but required to be disclosed to the superintendent of the school division pursuant to ¿ 16.1-260(G)",Tidewater,51
2021-2022,BESO18,"A crime in the community where the student was charged with an offense relating to the Commonwealth's laws, which is not covered by any other behavior code, but required to be disclosed to the superintendent of the school division pursuant to ¿ 16.1-260(G)",Valley,4
2021-2022,BESO18,"A crime in the community where the student was charged with an offense relating to the Commonwealth's laws, which is not covered by any other behavior code, but required to be disclosed to the superintendent of the school division pursuant to ¿ 16.1-260(G)",Western Virginia,4
2021-2022,BESO2,Assault and Battery: Causing physical injury to another person,Central Virginia,330
2021-2022,BESO2,Assault and Battery: Causing physical injury to another person,Northern Neck,146
2021-2022,BESO2,Assault and Battery: Causing physical injury to another person,Northern Virginia,792
2021-2022,BESO2,Assault and Battery: Causing physical injury to another person,Southside,43
2021-2022,BESO2,Assault and Battery: Causing physical injury to another person,Southwest,65
2021-2022,BESO2,Assault and Battery: Causing physical injury to another person,Tidewater,390
2021-2022,BESO2,Assault and Battery: Causing physical injury to another person,Valley,107
2021-2022,BESO2,Assault and Battery: Causing physical injury to another person,Western Virginia,103
2021-2022,BESO2,Assault and Battery: Causing physical injury to another person,NA,31
2021-2022,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,Central Virginia,1538
2021-2022,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,Northern Neck,384
2021-2022,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,Northern Virginia,1053
2021-2022,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,Southside,122
2021-2022,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,Southwest,195
2021-2022,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,Tidewater,878
2021-2022,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,Valley,384
2021-2022,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,Western Virginia,522
2021-2022,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,NA,28
2021-2022,BESO4,Striking Staff: The use of force against a staff member when no injury is caused,Central Virginia,664
2021-2022,BESO4,Striking Staff: The use of force against a staff member when no injury is caused,Northern Neck,154
2021-2022,BESO4,Striking Staff: The use of force against a staff member when no injury is caused,Northern Virginia,834
2021-2022,BESO4,Striking Staff: The use of force against a staff member when no injury is caused,Southside,45
2021-2022,BESO4,Striking Staff: The use of force against a staff member when no injury is caused,Southwest,35
2021-2022,BESO4,Striking Staff: The use of force against a staff member when no injury is caused,Tidewater,1007
2021-2022,BESO4,Striking Staff: The use of force against a staff member when no injury is caused,Valley,154
2021-2022,BESO4,Striking Staff: The use of force against a staff member when no injury is caused,Western Virginia,160
2021-2022,BESO4,Striking Staff: The use of force against a staff member when no injury is caused,NA,101
2021-2022,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",Central Virginia,442
2021-2022,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",Northern Neck,176
2021-2022,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",Northern Virginia,804
2021-2022,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",Southside,43
2021-2022,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",Southwest,105
2021-2022,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",Tidewater,607
2021-2022,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",Valley,195
2021-2022,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",Western Virginia,137
2021-2022,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",NA,28
2021-2022,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",Central Virginia,221
2021-2022,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",Northern Neck,76
2021-2022,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",Northern Virginia,262
2021-2022,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",Southside,6
2021-2022,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",Southwest,33
2021-2022,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",Tidewater,201
2021-2022,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",Valley,48
2021-2022,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",Western Virginia,52
2021-2022,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",NA,6
2021-2022,BESO7,Drugs: Using controlled substances or using  illegal drugs or synthetic hallucinogens or unauthorized prescription medications ,Central Virginia,74
2021-2022,BESO7,Drugs: Using controlled substances or using  illegal drugs or synthetic hallucinogens or unauthorized prescription medications ,Northern Neck,60
2021-2022,BESO7,Drugs: Using controlled substances or using  illegal drugs or synthetic hallucinogens or unauthorized prescription medications ,Northern Virginia,320
2021-2022,BESO7,Drugs: Using controlled substances or using  illegal drugs or synthetic hallucinogens or unauthorized prescription medications ,Southside,14
2021-2022,BESO7,Drugs: Using controlled substances or using  illegal drugs or synthetic hallucinogens or unauthorized prescription medications ,Southwest,36
2021-2022,BESO7,Drugs: Using controlled substances or using  illegal drugs or synthetic hallucinogens or unauthorized prescription medications ,Tidewater,155
2021-2022,BESO7,Drugs: Using controlled substances or using  illegal drugs or synthetic hallucinogens or unauthorized prescription medications ,Valley,52
2021-2022,BESO7,Drugs: Using controlled substances or using  illegal drugs or synthetic hallucinogens or unauthorized prescription medications ,Western Virginia,53
2021-2022,BESO7,Drugs: Using controlled substances or using  illegal drugs or synthetic hallucinogens or unauthorized prescription medications ,NA,12
2021-2022,BESO9,"Fire: Attempting to set, aiding in setting, or setting a fire",Central Virginia,58
2021-2022,BESO9,"Fire: Attempting to set, aiding in setting, or setting a fire",Northern Neck,9
2021-2022,BESO9,"Fire: Attempting to set, aiding in setting, or setting a fire",Northern Virginia,27
2021-2022,BESO9,"Fire: Attempting to set, aiding in setting, or setting a fire",Southside,5
2021-2022,BESO9,"Fire: Attempting to set, aiding in setting, or setting a fire",Southwest,1
2021-2022,BESO9,"Fire: Attempting to set, aiding in setting, or setting a fire",Tidewater,30
2021-2022,BESO9,"Fire: Attempting to set, aiding in setting, or setting a fire",Valley,7
2021-2022,BESO9,"Fire: Attempting to set, aiding in setting, or setting a fire",Western Virginia,10
2021-2022,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",Central Virginia,81
2021-2022,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",Northern Neck,48
2021-2022,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",Northern Virginia,241
2021-2022,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",Southside,10
2021-2022,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",Southwest,39
2021-2022,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",Tidewater,79
2021-2022,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",Valley,46
2021-2022,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",Western Virginia,42
2021-2022,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",NA,5
2021-2022,BSC10,Bus: Endangering the safety of others on the bus,Central Virginia,665
2021-2022,BSC10,Bus: Endangering the safety of others on the bus,Northern Neck,502
2021-2022,BSC10,Bus: Endangering the safety of others on the bus,Northern Virginia,1969
2021-2022,BSC10,Bus: Endangering the safety of others on the bus,Southside,258
2021-2022,BSC10,Bus: Endangering the safety of others on the bus,Southwest,355
2021-2022,BSC10,Bus: Endangering the safety of others on the bus,Tidewater,900
2021-2022,BSC10,Bus: Endangering the safety of others on the bus,Valley,738
2021-2022,BSC10,Bus: Endangering the safety of others on the bus,Western Virginia,714
2021-2022,BSC10,Bus: Endangering the safety of others on the bus,NA,29
2021-2022,BSC11,Fire alarm: Falsely activating a fire or other disaster alarm,Central Virginia,56
2021-2022,BSC11,Fire alarm: Falsely activating a fire or other disaster alarm,Northern Neck,17
2021-2022,BSC11,Fire alarm: Falsely activating a fire or other disaster alarm,Northern Virginia,59
2021-2022,BSC11,Fire alarm: Falsely activating a fire or other disaster alarm,Southside,5
2021-2022,BSC11,Fire alarm: Falsely activating a fire or other disaster alarm,Southwest,3
2021-2022,BSC11,Fire alarm: Falsely activating a fire or other disaster alarm,Tidewater,40
2021-2022,BSC11,Fire alarm: Falsely activating a fire or other disaster alarm,Valley,12
2021-2022,BSC11,Fire alarm: Falsely activating a fire or other disaster alarm,Western Virginia,12
2021-2022,BSC11,Fire alarm: Falsely activating a fire or other disaster alarm,NA,1
2021-2022,BSC12,Fire Related: Possessing items that could be used to set or cause a fire or produce large amounts of smoke,Central Virginia,99
2021-2022,BSC12,Fire Related: Possessing items that could be used to set or cause a fire or produce large amounts of smoke,Northern Neck,40
2021-2022,BSC12,Fire Related: Possessing items that could be used to set or cause a fire or produce large amounts of smoke,Northern Virginia,92
2021-2022,BSC12,Fire Related: Possessing items that could be used to set or cause a fire or produce large amounts of smoke,Southside,10
2021-2022,BSC12,Fire Related: Possessing items that could be used to set or cause a fire or produce large amounts of smoke,Southwest,4
2021-2022,BSC12,Fire Related: Possessing items that could be used to set or cause a fire or produce large amounts of smoke,Tidewater,150
2021-2022,BSC12,Fire Related: Possessing items that could be used to set or cause a fire or produce large amounts of smoke,Valley,17
2021-2022,BSC12,Fire Related: Possessing items that could be used to set or cause a fire or produce large amounts of smoke,Western Virginia,23
2021-2022,BSC12,Fire Related: Possessing items that could be used to set or cause a fire or produce large amounts of smoke,NA,2
2021-2022,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,Central Virginia,2383
2021-2022,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,Northern Neck,926
2021-2022,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,Northern Virginia,7562
2021-2022,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,Southside,414
2021-2022,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,Southwest,628
2021-2022,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,Tidewater,3838
2021-2022,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,Valley,1295
2021-2022,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,Western Virginia,976
2021-2022,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,NA,106
2021-2022,BSC14,Fighting that results in no injury as determined by the school administration,Central Virginia,3966
2021-2022,BSC14,Fighting that results in no injury as determined by the school administration,Northern Neck,821
2021-2022,BSC14,Fighting that results in no injury as determined by the school administration,Northern Virginia,2255
2021-2022,BSC14,Fighting that results in no injury as determined by the school administration,Southside,429
2021-2022,BSC14,Fighting that results in no injury as determined by the school administration,Southwest,548
2021-2022,BSC14,Fighting that results in no injury as determined by the school administration,Tidewater,4068
2021-2022,BSC14,Fighting that results in no injury as determined by the school administration,Valley,1008
2021-2022,BSC14,Fighting that results in no injury as determined by the school administration,Western Virginia,1195
2021-2022,BSC14,Fighting that results in no injury as determined by the school administration,NA,28
2021-2022,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,Central Virginia,1518
2021-2022,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,Northern Neck,252
2021-2022,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,Northern Virginia,1541
2021-2022,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,Southside,196
2021-2022,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,Southwest,88
2021-2022,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,Tidewater,2157
2021-2022,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,Valley,392
2021-2022,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,Western Virginia,310
2021-2022,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,NA,41
2021-2022,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",Central Virginia,1017
2021-2022,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",Northern Neck,401
2021-2022,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",Northern Virginia,1413
2021-2022,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",Southside,132
2021-2022,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",Southwest,258
2021-2022,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",Tidewater,1896
2021-2022,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",Valley,494
2021-2022,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",Western Virginia,493
2021-2022,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",NA,36
2021-2022,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",Central Virginia,4138
2021-2022,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",Northern Neck,1450
2021-2022,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",Northern Virginia,5471
2021-2022,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",Southside,616
2021-2022,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",Southwest,793
2021-2022,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",Tidewater,7490
2021-2022,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",Valley,1693
2021-2022,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",Western Virginia,1935
2021-2022,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",NA,35
2021-2022,BSC18,"Exposing body parts, lewd or indecent public behavior",Central Virginia,148
2021-2022,BSC18,"Exposing body parts, lewd or indecent public behavior",Northern Neck,69
2021-2022,BSC18,"Exposing body parts, lewd or indecent public behavior",Northern Virginia,228
2021-2022,BSC18,"Exposing body parts, lewd or indecent public behavior",Southside,32
2021-2022,BSC18,"Exposing body parts, lewd or indecent public behavior",Southwest,37
2021-2022,BSC18,"Exposing body parts, lewd or indecent public behavior",Tidewater,189
2021-2022,BSC18,"Exposing body parts, lewd or indecent public behavior",Valley,66
2021-2022,BSC18,"Exposing body parts, lewd or indecent public behavior",Western Virginia,81
2021-2022,BSC18,"Exposing body parts, lewd or indecent public behavior",NA,9
2021-2022,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",Central Virginia,196
2021-2022,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",Northern Neck,78
2021-2022,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",Northern Virginia,242
2021-2022,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",Southside,52
2021-2022,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",Southwest,32
2021-2022,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",Tidewater,191
2021-2022,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",Valley,96
2021-2022,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",Western Virginia,71
2021-2022,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",NA,4
2021-2022,BSC2,Alcohol: Distributing alcohol to other students,Central Virginia,8
2021-2022,BSC2,Alcohol: Distributing alcohol to other students,Northern Neck,6
